name,gender,age,city,platform_primary,platform_secondary,sector,tenure_platform_1_months,tenure_platform_2_months,working_hours_per_day,rating,avg_monthly_earnings,total_earnings,std_dev_earnings,recurring_expenses,cash_inflow_to_outflow_ratio,savings,net_savings_ratio,emergency_fund_months_covered,dependent_count,credit_card_user,credit_score,credit_history_length_months,education,loan_amount_requested,loan_term_months,interest_rate,purpose_of_loan,location_stability,earnings_trend_slope_6mo,num_loan_rejections_6mo,assets_inr,repayment_status
Wriddhish Borah,Male,47,Gaya,Vedantu,UrbanPro,tutoring,38,37,7,4.250589256019087,17696,212352,2645.71,8420,0.87,25000,0.12,0.6,2,True,373.0,48,12th,29314,36,20.96,wedding,stable,-0.01,0,{},1.0
Vasatika Tandon,Female,20,Hajipur,KaamWaliBai,HouseHelpIndia,domestic,8,4,9,4.250589256019087,31196,374352,3705.7,13014,1.27,10000,0.03,0.7,1,False,,0,10th,116792,12,18.51,education,unstable,-0.1,2,{},0.0
Rudra Chanda,Male,33,Guntur,Rapido,Uber,cab,19,23,12,4.3,17649,211788,2038.19,9818,0.77,0,0.0,3.2,1,True,671.0,22,10th,126676,36,19.48,education,stable,0.07,0,"{""vehicle"": 122755, ""land"": 253624}",0.0
Faris Walia,Male,35,Satara,Zepto,Zomato,food_delivery,32,27,11,4.8,20097,241164,5191.52,13916,0.88,0,0.0,3.9,2,False,,0,graduate,30339,36,13.92,vehicle,semi-stable,-0.21,0,{},0.0
Tejas Muni,Male,40,Bikaner,Instamart,Swiggy,food_delivery,45,44,11,4.8,27397,328764,7172.32,17238,1.41,0,0.0,0.6,2,False,,0,10th,126046,12,19.86,wedding,stable,-0.12,0,"{""vehicle"": 71013, ""land"": 656389}",1.0
Mahika Dubey,Female,18,Mira-Bhayandar,UrbanPro,Vedantu,tutoring,28,33,8,4.250589256019087,24770,297240,7781.17,14239,1.26,0,0.0,2.8,3,False,,0,none,107698,24,23.48,vehicle,unstable,0.06,0,"{""vehicle"": 147222}",0.0
Akshay Sood,Male,35,Bellary,QuickFix,HandyManGo,other,58,59,6,4.250589256019087,44194,530328,8311.82,28980,0.73,10000,0.02,2.5,1,False,,0,10th,82948,24,20.87,medical,semi-stable,-0.05,0,"{""home"": 380627}",1.0
Utkarsh Chacko,Male,20,Danapur,Vedantu,UrbanPro,tutoring,18,22,6,4.250589256019087,28553,342636,5697.08,13940,1.06,10000,0.03,4.0,3,False,,0,graduate,99392,12,11.54,vehicle,stable,-0.12,2,"{""vehicle"": 285492, ""land"": 324317}",0.0
Vihaan Viswanathan,Male,45,Rohtak,Instamart,Swiggy,food_delivery,9,8,11,3.6,22694,272328,5302.0,9675,1.22,0,0.0,2.4,0,True,453.0,25,12th,60867,12,15.81,vehicle,stable,0.09,1,"{""vehicle"": 91236}",0.0
Kiaan Gaba,Male,32,Rajkot,Zepto,Zomato,food_delivery,3,6,12,3.8,17254,207048,3844.39,10525,0.82,0,0.0,3.3,1,True,355.0,43,10th,49023,12,10.92,wedding,stable,0.1,0,"{""vehicle"": 210516}",0.0
Balendra Tata,Male,43,Morena,Zomato,Swiggy,food_delivery,45,41,9,4.1,26460,317520,9471.92,11452,1.28,25000,0.08,3.0,0,False,,0,graduate,120593,24,20.53,debt_consolidation,stable,0.17,0,"{""home"": 423254}",1.0
Rehaan Varma,Male,26,Srinagar,Zepto,Zomato,food_delivery,41,37,12,4.5,10338,124056,1928.4,4716,0.95,0,0.0,3.9,0,False,,0,10th,114618,12,16.46,education,stable,-0.15,0,"{""vehicle"": 95995, ""home"": 610549}",0.0
Praneel Nazareth,Male,31,Agra,QuickFix,HandyManGo,other,30,28,10,4.250589256019087,18781,225372,3154.4,9977,1.31,0,0.0,2.9,0,False,,0,graduate,18459,36,16.05,wedding,stable,0.03,0,"{""vehicle"": 194075, ""land"": 342696}",0.0
Samesh Dey,Male,27,Ballia,Zomato,Swiggy,food_delivery,43,38,8,3.8,17981,215772,2663.44,9751,0.75,10000,0.05,2.9,1,False,,0,10th,118713,36,12.62,debt_consolidation,semi-stable,0.0,0,"{""vehicle"": 257589, ""home"": 1060491}",0.0
Tristan Parmar,Male,23,Jalna,Uber,Rapido,cab,31,33,10,4.8,39310,471720,12454.17,25949,0.84,0,0.0,2.0,1,True,693.0,53,12th,67423,36,18.85,wedding,stable,-0.05,0,"{""vehicle"": 288894}",1.0
Qasim Deo,Male,48,Baranagar,Rapido,Uber,cab,25,25,10,3.6,21276,255312,5851.48,10176,1.48,0,0.0,1.5,1,False,,0,10th,28746,36,10.32,vehicle,stable,-0.13,0,"{""land"": 556979}",1.0
Jasmit Borah,Female,42,Gudivada,Instamart,Swiggy,food_delivery,26,27,11,4.9,68757,825084,12588.26,28548,1.41,0,0.0,3.0,0,False,,0,none,26675,36,21.38,medical,stable,0.1,0,"{""land"": 195098}",1.0
Omaja Talwar,Female,19,Tinsukia,Rapido,Ola,cab,23,23,13,4.6,33398,400776,11682.5,19663,0.89,0,0.0,1.7,0,False,,0,graduate,148672,12,22.61,medical,stable,0.06,0,"{""vehicle"": 187026}",0.0
Teerth Mutti,Male,43,Coimbatore,UrbanClap,Yes Madam,beauty,52,57,6,4.2,34015,408180,5715.53,20581,0.77,0,0.0,2.5,0,False,,0,none,115305,12,21.26,education,stable,0.07,0,"{""vehicle"": 71222, ""home"": 738554}",0.0
Oviya Rattan,Female,33,Berhampur,QuickFix,HandyManGo,other,36,37,8,4.250589256019087,17708,212496,2106.87,10886,0.96,0,0.0,2.8,1,False,,0,10th,146080,24,15.18,wedding,stable,0.01,1,"{""vehicle"": 231864, ""land"": 663525}",0.0
Krish Oommen,Male,38,Nellore,Uber,,cab,58,0,10,4.0,21285,255420,5988.16,9903,0.95,0,0.0,1.8,1,False,,0,graduate,26677,12,10.84,vehicle,unstable,0.06,0,"{""vehicle"": 238030}",1.0
Isaiah Sur,Male,47,Jalna,Ola,,cab,57,0,10,4.7,22243,266916,7309.0,13377,0.89,10000,0.04,0.6,1,False,,0,12th,10219,12,15.21,wedding,stable,-0.0,0,{},1.0
Naksh Rattan,Male,28,Pali,Swiggy,Zepto,food_delivery,12,10,10,4.2,10185,122220,3051.48,5094,1.03,0,0.0,1.9,1,False,,0,10th,66009,24,18.74,debt_consolidation,semi-stable,0.09,0,"{""vehicle"": 182483}",0.0
Ishaan Kakar,Male,49,Erode,Yes Madam,UrbanClap,beauty,36,34,8,4.1,25216,302592,8191.73,17522,1.33,0,0.0,2.3,1,False,,0,10th,51354,24,16.8,medical,stable,-0.09,0,{},0.0
Manya Kar,Female,20,Hyderabad,Yes Madam,UrbanClap,beauty,27,22,9,3.7,19433,233196,7389.72,11949,1.36,10000,0.04,3.0,3,False,,0,graduate,71943,36,16.52,medical,stable,0.02,0,"{""vehicle"": 107885}",0.0
Victor Anne,Male,27,Satara,Ola,Uber,cab,18,22,12,4.0,30166,361992,7497.4,18667,0.97,0,0.0,3.5,3,False,,0,12th,26620,12,18.08,medical,stable,0.11,0,"{""vehicle"": 60473}",1.0
Sudiksha Deo,Female,18,Haridwar,Yes Madam,UrbanClap,beauty,55,53,7,4.8,71249,854988,19521.81,31094,0.94,0,0.0,0.8,1,False,,0,graduate,24986,36,14.99,business,stable,0.13,0,{},1.0
Finn Chokshi,Male,20,Baranagar,QuickFix,,other,40,0,9,4.250589256019087,15567,186804,6159.98,9089,1.44,10000,0.05,2.4,2,False,,0,12th,85881,12,16.92,education,stable,-0.05,0,{},0.0
Wriddhish Warrior,Male,35,Vasai-Virar,Zomato,Instamart,food_delivery,25,24,9,4.0,37973,455676,3978.0,20399,0.82,10000,0.02,1.4,1,False,,0,graduate,102768,12,15.16,medical,semi-stable,0.01,0,{},0.0
Nitara Sridhar,Female,34,Bardhaman,HandyManGo,QuickFix,other,30,33,10,4.250589256019087,24526,294312,3864.99,13040,0.92,0,0.0,1.3,1,False,,0,10th,129308,12,16.47,wedding,stable,-0.22,0,"{""vehicle"": 245944, ""home"": 754237}",0.0
Oscar Borra,Male,42,Solapur,KaamWaliBai,HouseHelpIndia,domestic,48,50,8,4.250589256019087,27319,327828,6941.9,12834,1.38,10000,0.03,3.8,1,False,,0,12th,11223,24,11.87,wedding,stable,0.07,0,"{""vehicle"": 92730}",1.0
Indrajit Sha,Male,38,Rajpur Sonarpur,Uber,Rapido,cab,13,17,14,4.4,22422,269064,4434.33,13323,0.95,10000,0.04,3.2,3,False,,0,graduate,33532,12,17.11,debt_consolidation,semi-stable,0.1,0,{},1.0
Yatan Bora,Male,25,Mira-Bhayandar,Zomato,Instamart,food_delivery,30,28,12,3.7,35234,422808,10649.68,17661,0.84,0,0.0,0.1,1,True,348.0,11,10th,70931,12,20.58,debt_consolidation,unstable,0.03,0,"{""vehicle"": 147136, ""land"": 988165}",1.0
Ryan Verma,Male,19,Bilaspur,Yes Madam,,beauty,24,0,6,3.8,20196,242352,2095.92,9499,1.08,0,0.0,1.6,1,False,,0,12th,52796,24,15.86,wedding,unstable,-0.07,0,"{""vehicle"": 145385}",0.0
Baghyawati Garde,Female,33,Chennai,UrbanClap,Yes Madam,beauty,54,53,8,3.7,26309,315708,2765.49,17231,1.13,0,0.0,3.9,0,False,,0,12th,94508,12,19.66,education,stable,-0.13,0,"{""land"": 205528}",0.0
Hitesh Andra,Male,28,Alappuzha,Zepto,Zomato,food_delivery,56,53,11,3.6,16697,200364,1924.13,10939,1.48,10000,0.05,3.2,1,False,,0,10th,17180,12,21.8,business,semi-stable,0.08,1,"{""home"": 1302694, ""land"": 258804}",1.0
Girish Goswami,Male,46,Avadi,HouseHelpIndia,KaamWaliBai,domestic,8,2,9,4.250589256019087,21917,263004,3462.41,12683,1.29,0,0.0,3.8,2,False,,0,12th,67144,12,11.5,medical,stable,-0.06,0,"{""vehicle"": 167636}",0.0
Harrison Chahal,Male,42,Gandhidham,Instamart,Zomato,food_delivery,35,29,10,4.9,20619,247428,6100.59,11676,0.85,10000,0.04,0.1,2,False,,0,none,21553,12,14.87,vehicle,stable,0.16,0,"{""vehicle"": 193437, ""land"": 981424}",1.0
Lipika Gala,Female,23,Chennai,Yes Madam,UrbanClap,beauty,32,31,6,3.5,41431,497172,6480.03,24329,1.38,10000,0.02,1.4,0,False,,0,10th,63130,12,15.18,vehicle,stable,-0.09,1,"{""vehicle"": 173725, ""home"": 837238}",1.0
Advik Banik,Male,23,Gorakhpur,Uber,Rapido,cab,8,12,12,4.6,27815,333780,7134.14,13425,0.8,0,0.0,2.3,1,False,,0,10th,149166,24,15.51,vehicle,stable,0.12,0,"{""vehicle"": 241123, ""home"": 1028246, ""land"": 596586}",0.0
Kalpit Kant,Male,32,Vijayawada,Instamart,Zomato,food_delivery,11,15,11,4.5,31819,381828,4915.6,14481,1.49,10000,0.03,1.0,1,False,,0,10th,79772,36,14.48,medical,stable,-0.06,0,"{""vehicle"": 258692}",1.0
Kamala Andra,Female,42,Serampore,KaamWaliBai,HouseHelpIndia,domestic,45,48,8,4.250589256019087,34066,408792,12242.18,14381,0.85,10000,0.02,2.5,0,False,,0,10th,30401,24,21.64,business,semi-stable,-0.03,1,"{""vehicle"": 56216}",1.0
Chakrika Kohli,Female,50,Bhiwandi,KaamWaliBai,HouseHelpIndia,domestic,42,46,9,4.250589256019087,11375,136500,1756.45,7249,1.2,0,0.0,2.8,1,False,,0,10th,83725,24,14.72,education,semi-stable,0.03,0,{},0.0
Aarush Maharaj,Male,42,Allahabad,Rapido,Uber,cab,31,35,14,4.9,13352,160224,3934.87,8010,1.35,10000,0.06,0.8,1,False,,0,10th,47919,12,20.39,wedding,stable,0.09,1,"{""vehicle"": 164466}",1.0
Faqid Rao,Male,39,Nellore,Uber,,cab,44,0,10,4.1,15155,181860,4286.28,10582,0.89,0,0.0,1.4,0,False,,0,12th,91779,36,20.0,debt_consolidation,semi-stable,-0.05,0,"{""vehicle"": 153909}",0.0
Mitali Rajan,Female,24,Adoni,Vedantu,UrbanPro,tutoring,50,50,6,4.250589256019087,25094,301128,5252.64,16737,1.3,0,0.0,1.9,2,False,,0,10th,14988,12,15.46,business,stable,-0.04,0,{},1.0
Om Wable,Male,39,Raiganj,Swiggy,Zomato,food_delivery,46,46,8,4.5,25379,304548,8562.06,15483,0.71,0,0.0,0.2,3,True,370.0,15,12th,140589,36,15.86,business,stable,-0.06,0,"{""vehicle"": 201320}",0.0
Christopher Chaudhari,Male,20,Rajahmundry,Rapido,Uber,cab,21,22,12,4.6,22607,271284,7107.63,10641,1.39,10000,0.04,3.8,1,False,,0,10th,60590,36,23.04,debt_consolidation,semi-stable,0.11,1,{},1.0
Ekavir Padmanabhan,Male,47,Begusarai,Uber,Ola,cab,14,14,11,4.2,28216,338592,4530.77,13628,0.98,0,0.0,1.1,0,False,,0,10th,142088,24,19.17,vehicle,stable,-0.05,0,{},0.0
Aayush Anne,Male,26,Shahjahanpur,HandyManGo,QuickFix,other,15,19,10,4.250589256019087,19511,234132,4164.73,9422,0.97,0,0.0,3.9,1,False,,0,12th,75010,36,21.66,education,stable,0.0,0,"{""home"": 847458}",0.0
Siya Morar,Female,38,Sambhal,Zomato,Swiggy,food_delivery,58,56,8,4.3,32628,391536,4101.07,13451,1.15,10000,0.03,1.0,0,False,,0,none,13408,12,14.91,education,stable,-0.07,1,"{""vehicle"": 255366}",1.0
Chaman Oak,Female,34,Kolhapur,Yes Madam,UrbanClap,beauty,47,43,8,4.1,40814,489768,14805.37,19829,1.48,0,0.0,1.4,1,False,,0,10th,38914,12,17.98,business,stable,0.17,0,"{""home"": 1316047}",1.0
Jacob Sane,Male,48,Bhiwandi,Zepto,Swiggy,food_delivery,39,34,11,4.7,9081,108972,3290.08,4552,0.73,10000,0.09,1.2,2,True,549.0,23,12th,51882,24,14.42,wedding,semi-stable,-0.13,0,"{""vehicle"": 201388}",1.0
Dipta Chana,Female,23,Satara,KaamWaliBai,HouseHelpIndia,domestic,4,1,8,4.250589256019087,24568,294816,8350.51,10087,0.97,0,0.0,3.5,1,False,,0,graduate,21458,12,21.59,debt_consolidation,stable,-0.09,0,"{""vehicle"": 295582}",0.0
Charles Halder,Male,44,Kulti,HandyManGo,QuickFix,other,29,23,10,4.250589256019087,11050,132600,1269.64,7154,1.09,25000,0.19,3.5,1,False,,0,graduate,79866,12,17.23,education,stable,0.05,2,"{""vehicle"": 233207}",1.0
Ayush Chandra,Male,43,Mehsana,Instamart,Zomato,food_delivery,41,40,9,4.3,34546,414552,13422.78,14774,1.16,0,0.0,1.4,0,False,,0,10th,33664,12,17.48,vehicle,stable,-0.01,0,"{""vehicle"": 220866, ""home"": 465216, ""land"": 436709}",1.0
Yochana Jha,Female,49,Satna,Ola,Uber,cab,41,42,10,4.2,10000,120000,2421.14,6067,1.34,0,0.0,2.6,0,False,,0,10th,128092,36,22.91,medical,stable,0.06,0,{},0.0
Turvi Chandran,Female,47,Asansol,UrbanClap,Yes Madam,beauty,27,31,8,4.7,21965,263580,7282.86,13254,0.81,0,0.0,1.0,2,False,,0,10th,146502,12,10.62,vehicle,semi-stable,-0.08,0,"{""vehicle"": 247922, ""home"": 1020002}",0.0
Rishi Walia,Male,41,Bhiwani,Rapido,Uber,cab,58,54,11,4.2,23432,281184,2677.74,16173,1.32,10000,0.04,1.0,1,True,635.0,4,12th,27382,12,18.79,debt_consolidation,stable,0.19,0,{},1.0
Chakradev Sankar,Male,24,Kadapa,Vedantu,UrbanPro,tutoring,51,49,8,4.250589256019087,8000,96000,2462.17,4963,1.25,0,0.0,1.9,0,False,,0,10th,36261,36,18.06,vehicle,stable,-0.01,0,"{""home"": 1054690}",0.0
Eshana Chopra,Female,31,Nangloi Jat,HouseHelpIndia,KaamWaliBai,domestic,52,46,7,4.250589256019087,20872,250464,2275.36,13881,0.85,0,0.0,2.0,2,False,,0,graduate,83880,24,20.31,business,stable,0.08,0,"{""vehicle"": 96689}",0.0
Ikbal Amble,Male,50,Hubli–Dharwad,Zomato,Zepto,food_delivery,50,54,12,4.7,42955,515460,10484.36,20868,0.96,10000,0.02,1.0,1,False,,0,10th,81001,24,23.32,wedding,semi-stable,-0.13,0,"{""vehicle"": 200080}",1.0
Anika Sekhon,Female,26,Bhimavaram,HouseHelpIndia,KaamWaliBai,domestic,9,11,7,4.250589256019087,23924,287088,5895.28,10603,0.73,0,0.0,3.9,1,False,,0,10th,68568,24,23.89,wedding,semi-stable,-0.14,0,"{""home"": 691735}",0.0
Anirudh Maharaj,Male,36,Phusro,Vedantu,UrbanPro,tutoring,45,47,8,4.250589256019087,38864,466368,7159.75,27132,1.47,10000,0.02,2.9,1,False,,0,graduate,113246,12,15.5,debt_consolidation,stable,-0.17,1,"{""vehicle"": 141111, ""home"": 328635, ""land"": 963082}",1.0
Balvan Rastogi,Male,39,Karimnagar,Zomato,Swiggy,food_delivery,36,32,10,3.9,15335,184020,4853.62,8523,0.79,10000,0.05,0.4,2,False,,0,10th,66290,24,16.29,wedding,stable,0.23,0,"{""vehicle"": 247644}",1.0
Varenya Ray,Female,23,Delhi,HouseHelpIndia,KaamWaliBai,domestic,27,29,7,4.250589256019087,25833,309996,9436.88,17795,1.33,25000,0.08,3.4,1,False,,0,10th,135031,12,17.47,vehicle,semi-stable,-0.01,0,"{""vehicle"": 251694}",0.0
Sai Raval,Male,48,Chandigarh,Vedantu,UrbanPro,tutoring,3,-1,6,4.250589256019087,22601,271212,4999.72,11296,1.04,0,0.0,3.0,0,False,,0,12th,33328,24,10.67,education,unstable,0.12,0,"{""vehicle"": 166834}",0.0
Maanas Banerjee,Male,23,Rampur,Instamart,Swiggy,food_delivery,46,40,8,4.4,22949,275388,7441.19,15495,1.39,10000,0.04,1.9,3,False,,0,10th,33710,12,13.93,vehicle,unstable,-0.19,0,"{""vehicle"": 187069, ""land"": 891257}",1.0
Anmol Sinha,Male,18,Pudukkottai,KaamWaliBai,HouseHelpIndia,domestic,6,8,9,4.250589256019087,23252,279024,4955.69,9577,0.77,0,0.0,1.6,1,False,,0,10th,134094,36,21.88,wedding,stable,0.07,0,"{""vehicle"": 186390, ""home"": 999633}",0.0
Panini Chhabra,Female,22,Bareilly,UrbanClap,Yes Madam,beauty,44,45,8,4.2,25777,309324,9033.48,11912,0.91,0,0.0,3.8,0,True,431.0,56,12th,36319,36,15.63,wedding,stable,-0.17,0,"{""home"": 991638}",0.0
Mohini Saraf,Female,44,Siwan,HouseHelpIndia,KaamWaliBai,domestic,32,34,9,4.250589256019087,33036,396432,4403.9,21743,1.07,10000,0.03,0.8,0,False,,0,12th,140117,24,14.69,medical,semi-stable,0.09,0,{},0.0
Mason Din,Male,31,Chinsurah,UrbanPro,Vedantu,tutoring,3,3,8,4.250589256019087,30081,360972,4379.02,21045,1.04,0,0.0,1.0,3,False,,0,10th,78020,12,20.2,debt_consolidation,semi-stable,0.04,0,"{""vehicle"": 56768, ""home"": 1110925}",0.0
Faraj Sahota,Male,49,Ranchi,Uber,,cab,34,0,10,4.8,24591,295092,9224.93,12508,1.2,10000,0.03,1.2,2,False,,0,graduate,100063,12,10.11,debt_consolidation,stable,-0.0,0,"{""land"": 591497}",1.0
Onkar Kota,Male,39,Pimpri-Chinchwad,UrbanClap,Yes Madam,beauty,48,51,7,4.7,10565,126780,2578.34,4369,1.01,0,0.0,1.8,2,False,,0,10th,21175,36,12.41,wedding,stable,-0.06,1,"{""vehicle"": 289349}",0.0
Aradhana Batta,Female,23,Serampore,HouseHelpIndia,KaamWaliBai,domestic,39,40,8,4.250589256019087,14094,169128,4914.13,8115,1.36,10000,0.06,3.1,2,False,,0,10th,118095,36,12.12,debt_consolidation,stable,-0.22,0,{},0.0
Nihal Nanda,Male,18,Madurai,HandyManGo,QuickFix,other,36,34,11,4.250589256019087,12304,147648,2151.1,5649,0.8,0,0.0,2.5,2,True,528.0,17,none,19044,24,19.39,business,stable,-0.04,0,{},0.0
Qadim Vyas,Male,30,Tirunelveli,Ola,Uber,cab,22,16,14,3.7,22972,275664,5424.01,14047,0.72,10000,0.04,1.4,2,False,,0,12th,39996,24,15.51,debt_consolidation,stable,0.07,0,{},0.0
Ekansh Thakkar,Male,19,Asansol,HandyManGo,QuickFix,other,4,0,10,4.250589256019087,32343,388116,10063.74,13357,1.19,10000,0.03,0.4,0,False,,0,10th,112168,24,15.69,education,stable,0.04,2,"{""vehicle"": 280552, ""land"": 380676}",0.0
Rohan Oza,Male,20,Udaipur,QuickFix,HandyManGo,other,6,1,10,4.250589256019087,27551,330612,4845.3,17527,1.42,10000,0.03,0.6,1,True,384.0,6,10th,12935,24,18.79,debt_consolidation,unstable,0.21,0,{},1.0
Sai Pandey,Male,49,Thane,Zepto,Swiggy,food_delivery,14,18,10,4.3,33374,400488,6826.28,16986,1.45,25000,0.06,2.1,1,False,,0,10th,39377,36,11.39,education,stable,-0.01,0,{},1.0
Ikbal Madan,Male,26,Ludhiana,Ola,Uber,cab,53,52,14,3.8,20342,244104,4834.64,12392,0.83,10000,0.04,3.8,1,False,,0,12th,19257,24,14.77,medical,semi-stable,-0.0,0,"{""home"": 523452, ""land"": 502007}",1.0
Edhitha Reddy,Female,21,Sri Ganganagar,KaamWaliBai,HouseHelpIndia,domestic,52,56,8,4.250589256019087,9707,116484,2543.09,4337,0.72,0,0.0,3.6,2,False,,0,graduate,70084,24,17.46,wedding,stable,-0.19,0,{},0.0
Wriddhish Grewal,Male,38,Dewas,Ola,Uber,cab,22,18,13,3.9,8000,96000,2306.41,3789,0.94,10000,0.1,2.8,2,False,,0,graduate,24639,24,22.12,vehicle,unstable,-0.06,0,"{""vehicle"": 200748}",0.0
Vidhi Varty,Female,49,Panchkula,KaamWaliBai,HouseHelpIndia,domestic,26,30,9,4.250589256019087,24961,299532,8519.0,14437,0.84,0,0.0,2.0,0,False,,0,graduate,86729,36,13.83,education,stable,0.09,0,"{""vehicle"": 142958}",0.0
Aarav Patla,Male,44,Raipur,Swiggy,,food_delivery,8,0,9,4.7,39172,470064,9562.55,24384,1.47,0,0.0,0.1,2,False,,0,12th,71988,24,23.89,business,stable,0.08,1,"{""vehicle"": 170513, ""home"": 967108}",1.0
Prisha Radhakrishnan,Female,20,Gorakhpur,Instamart,Zomato,food_delivery,14,14,9,3.6,31625,379500,12347.89,20935,0.72,0,0.0,4.0,1,False,,0,12th,56728,24,23.6,medical,stable,0.15,0,"{""vehicle"": 53611, ""home"": 951167}",0.0
Balendra Bhatnagar,Male,23,Salem,Rapido,Uber,cab,17,19,11,4.9,27469,329628,8660.22,12969,1.24,0,0.0,3.2,1,False,,0,10th,73071,24,20.24,debt_consolidation,stable,-0.02,0,"{""vehicle"": 248219, ""home"": 1279120}",1.0
Hitesh Balasubramanian,Male,49,Jorhat,Rapido,Ola,cab,22,23,11,3.9,29606,355272,5348.82,19368,1.11,0,0.0,0.6,0,False,,0,10th,28234,36,22.99,wedding,stable,0.14,0,"{""vehicle"": 209081, ""land"": 763986}",1.0
Jagdish Lal,Male,29,Mau,Zomato,Swiggy,food_delivery,36,33,9,4.6,25454,305448,7900.75,14279,1.28,10000,0.03,2.0,1,False,,0,12th,118099,36,23.16,education,stable,0.07,0,"{""vehicle"": 185226, ""home"": 794641}",1.0
Yashoda Warrior,Female,35,Morbi,UrbanPro,Vedantu,tutoring,4,6,7,4.250589256019087,33766,405192,7377.92,15163,0.94,0,0.0,1.3,0,False,,0,graduate,28673,24,14.19,medical,stable,0.08,0,"{""vehicle"": 230788}",1.0
Chakradev Dayal,Male,42,Guntakal,Zomato,,food_delivery,56,0,9,4.9,29655,355860,4121.7,15323,0.86,10000,0.03,0.8,1,True,392.0,7,10th,72946,24,15.09,wedding,stable,0.06,0,"{""vehicle"": 206409, ""home"": 1207859}",1.0
Harish Borra,Male,40,Siliguri,QuickFix,HandyManGo,other,13,11,9,4.250589256019087,24692,296304,8962.0,11092,1.16,25000,0.08,3.4,1,False,,0,graduate,72823,36,13.94,business,stable,0.17,0,"{""vehicle"": 239447}",1.0
Watika Golla,Female,24,Coimbatore,UrbanClap,Yes Madam,beauty,27,31,8,3.8,23515,282180,5122.24,10463,0.85,0,0.0,3.1,1,False,,0,12th,115708,24,15.61,medical,stable,-0.14,0,"{""vehicle"": 239711}",0.0
Ishani Nadkarni,Female,45,Jammu,UrbanClap,Yes Madam,beauty,17,11,8,4.9,14386,172632,2483.76,8824,1.43,0,0.0,2.1,1,False,,0,10th,27859,36,22.69,medical,stable,-0.02,2,"{""vehicle"": 51004}",0.0
Brinda Baria,Female,41,Amaravati,Yes Madam,UrbanClap,beauty,49,51,6,4.1,19469,233628,5248.36,9844,1.42,25000,0.11,1.5,2,False,,0,12th,36009,12,10.33,education,stable,0.04,1,"{""home"": 1218907}",1.0
Manthan Pall,Male,35,Rewa,HandyManGo,QuickFix,other,15,19,9,4.250589256019087,19703,236436,3303.58,9037,1.47,10000,0.04,0.9,0,False,,0,graduate,140331,12,21.89,education,stable,0.03,0,"{""vehicle"": 243780, ""home"": 1252901}",0.0
Kalpit Dyal,Male,35,Srinagar,Vedantu,UrbanPro,tutoring,36,39,7,4.250589256019087,22697,272364,7481.38,10477,0.8,0,0.0,3.3,3,False,,0,graduate,62276,12,16.58,wedding,stable,-0.01,0,"{""home"": 1124588, ""land"": 690859}",0.0
Girik Mandal,Male,21,Karawal Nagar,Instamart,Swiggy,food_delivery,46,51,12,3.7,26348,316176,9896.33,11063,0.86,0,0.0,2.1,1,False,,0,graduate,71989,24,12.71,business,semi-stable,-0.01,1,"{""vehicle"": 98347}",0.0
Nitara Bhattacharyya,Female,32,Singrauli,Zepto,Instamart,food_delivery,10,4,12,3.6,37129,445548,11710.99,21436,1.49,0,0.0,0.0,2,False,,0,10th,79624,36,14.74,vehicle,semi-stable,0.08,0,{},1.0
Girindra Dutta,Male,49,Hosur,Instamart,Zepto,food_delivery,49,45,12,4.0,32432,389184,7816.93,22282,0.99,0,0.0,2.3,0,False,,0,graduate,96781,36,10.96,business,stable,0.08,0,{},1.0
Krish Pillai,Male,44,Jammu,Zepto,Zomato,food_delivery,47,49,11,3.7,41741,500892,16144.78,28111,1.05,0,0.0,1.5,3,False,,0,graduate,105162,24,17.79,medical,semi-stable,0.14,0,"{""vehicle"": 201341}",1.0
Benjamin Divan,Male,42,Pondicherry,Rapido,Uber,cab,25,22,11,5.0,21837,262044,6048.48,10307,0.78,10000,0.04,2.4,3,False,,0,12th,84699,24,16.58,medical,stable,-0.02,0,{},1.0
Sarthak Borde,Male,32,Aizawl,Zepto,Zomato,food_delivery,13,7,11,4.4,22254,267048,2536.28,9563,0.97,0,0.0,0.0,1,False,,0,12th,64344,12,19.78,education,stable,-0.08,0,"{""vehicle"": 237577, ""home"": 804894}",0.0
Maanav Bawa,Male,27,Gulbarga,Ola,Rapido,cab,4,5,14,3.8,38002,456024,5641.78,16332,0.99,10000,0.02,2.3,1,False,,0,12th,107387,24,20.65,business,stable,0.01,0,{},1.0
Chandresh Batra,Male,19,Orai,Zepto,Swiggy,food_delivery,13,8,12,5.0,36133,433596,12717.08,21263,1.23,0,0.0,1.5,1,False,,0,10th,47721,36,16.66,education,stable,0.04,0,{},1.0
Jacob Chauhan,Male,39,Kochi,Rapido,Uber,cab,9,7,12,3.5,21532,258384,6072.43,9687,1.22,0,0.0,3.2,1,False,,0,graduate,83276,24,15.4,medical,semi-stable,0.07,0,"{""vehicle"": 146203}",0.0
Bakhshi Sridhar,Male,30,Bally,Uber,Rapido,cab,52,48,10,4.8,22177,266124,7143.15,10400,1.13,0,0.0,2.4,1,False,,0,10th,27135,36,17.19,medical,stable,-0.07,0,"{""land"": 593224}",1.0
Varenya Loke,Female,33,Bokaro,HouseHelpIndia,KaamWaliBai,domestic,55,51,7,4.250589256019087,26433,317196,8267.72,14440,1.17,0,0.0,0.2,1,False,,0,10th,78460,12,23.94,wedding,stable,0.08,0,"{""vehicle"": 195687}",0.0
